Corsair Vengeance LPX,DDR4,3200 mHz,69.98,Black/Yellow
G.Skill Ripjaws V Series,DDR4,3200 mHz,152.99,Black
Crucial Ballistic RGB,DDR4,3600 mHz,91.99,Black
G.Skill Ripjaws V Series,DDR4,2400 mHz,37.5,Black/Red
Crucial Ballistix,DDR4,3000 mHz,77.48,White
Crucial CT4G4DFS8213,DDR4,2133 mHz,44.99,Black/Green
G.Skill Ripjaws X Series,DDR3,1600 mHz,42.99,Black/Red
Crucial Balilistix Sport,DDR3,1600 mHz,59.25,Black/Silver
Crucial CT51264BA1339J,DDR3,1333 mHz,19,Black/Green
Crucial CT2KIT25664BA1339,DDR3,1333 mHz,28.99,Green
