Corsair RM (2019),ATX,750,80 PLUS Gold,Black,Full,131.8
Corsair RMx (2021),ATX,850,80 PLUS Gold,Black,Full,149.99
EVGA BQ,ATX,600,80 PLUS Bronze,Black,Semi,52.99
Corsair CXM,ATX,650,80 PLUS Bronze,Black,Semi,59.99
Corsair CXF,ATX,750,80 PLUS Bronze,White/Black,Full,79.99
EVGA GD (2019),ATX,500,80 PLUS Gold,Black,No,59.37
SeaSonic PRIME Ultra Titanium,ATX,1000,80 PLUS Titanium,Black,Full,299.99
Corsair HX Platinum,ATX,1200,80 PLUS Platinum,Black,Full,255.29
Corsair CV,ATX,450,80 PLUS Bronze,Black,No,39.99
Corsair SF,SFX,750,80 PLUS Platinum,Black,Full,176.09
Cooler Master MWE,ATX,550,80 PLUS White,Black,No,49.99
