Samsung 970 EVO Plus 1TB,1 TB,$0.11 ,SSD,1024 MB,M.2-2280,M.2,109.99
Seagate Barracuda Compute,2 TB,$0.02 ,7200RPM,256 MB,3.5,SATA 6 Gb/s,46.99
Western Digital Blue SN550 1TB,1 TB,$0.10 ,SSD,N/A,M.2-2280,M.2,94.99
Samsung 970 EVO Plus 2TB,2 TB,$0.10 ,SSD,1024 MB,M.2-2280,M.2,199.99
Western Digital Blue SN550 500GB,500 GB,$0.12 ,SSD,N/A,M.2-2280,M.2,59.99
Samsung 980 Pro,2 TB,$0.14 ,SSD,2048 MB,M.2-2280,M.2,279.99
Samsung 970 Evo Plus 500GB,500 GB,$0.13 ,SSD,512 MB,M.2-2280,M.2,64.98
Seagate BarraCuda,1 TB,$0.05 ,7200RPM,64 MB,3.5,SATA 6 Gb/s,45.95
Western Digital WD Blue,2 TB,$0.02 ,7200RPM,256 MB,3.5,SATA 6 Gb/s,46.99
Samsung 870 Evo,500 GB,$0.14 ,SSD,512 MB,2.5,SATA 6 Gb/s,71.98
