Gigabyte H410M H V3 Ultra Durable,Micro,DDR4,2,Yes,Gen3,1,0,0,2,1x 1Gbps,Intel 500 Series,LGA 1200,77.75
Gigabyte B450M DS3H V2 Micro ATX AM4,Micro,DDR4,2,Yes,Gen3,0,0,0,1,1x 1Gbps,B450,AM4,58.49
Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,ATX,DDR4,4,Yes,Gen3,2,0,0,2,1x Ggbps,X570,AM4,193.95
ASUS ROG Strix B660F Gaming WiFi,ATX,DDR5,4,Yes,Gen4,1,0,1,2,1x 2.5Gbps,Intel 600 Series,LGA 1700,281.99
MSI 970 Gaming,ATX,DDR3,4,No,Gen2,2,0,0,2,1x 1Gbps,AMD 900+ Series,AM3+,189.99
GA P85 Gaming 3,ATX,DDR3,4,No,Gen3,2,0,0,2,1x 1Gbps,Intel 300 Series,LGA 1150,126.99
MSI B350 TOMAHAWK,ATX,DDR4,4,Yes,Gen3,2,0,0,2,1x 1Gbps,B350,AM4,129.99
Asus Prime B350M Plus,ATX,DDR4,4,Yes,Gen3,1,0,1,2,1x 1Gbps,B350,AM4,69.99
MSI B350M Mortar,Micro,DDR4,4,Yes,Gen3,2,0,0,2,1x 1Gbps,B350,AM4,79.99
Gigabyte B660M Aorus Pro AX,Micro,DDR4,4,Yes,Gen4,1,0,1,1,1x 2.5Gbps,Intel 600 Series,LGA 1700,229.99
MSI B450 TOMAHAWK MAX,ATX,DDR4,4,Yes,Gen3,1,0,1,2,1x 1Gbps,B450,AM4,169.99
MSI MAG B550M Mortar,Micro,DDR4,4,Yes,Gen4,1,0,0,1,1x 1Gbps,B550,AM4,189.99
MSI MEG X570 Godlike,ATX,DDR4,4,Yes,Gen4,4,0,0,1,1x 1Gbps + 1x2.5Gbps,X570,AM4,699.99
ROG STRIX Z490-A GAMING,ATX,DDR4,4,Yes,Gen3,4,0,0,1,1x 2.5Gbps,Intel 400 Series,LGA 1200,189.99
